method,attack,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,count
DCT,Blur,30.363508965073958,5.006364674099233,0.8884509650659711,0.08553475219373197,2500
DCT,Crop,16.732354288074678,5.090963589575404,0.3657380484894755,0.23805613240877377,2500
DCT,JPEG50,32.922564643158964,4.210801985009994,0.9377971168844302,0.027718539499634633,2500
DCT,JPEG70,34.84636657438273,4.526668971641808,0.9587418992739489,0.021737968098505204,2500
DCT,Noise,23.392471144486333,0.44600608094576605,0.6219242831641625,0.15448990119181438,2500
DCT,Rotate,16.16212784708353,4.952891043153752,0.33894687028282755,0.22806938063967505,2500
DWT,Blur,33.50543629974113,8.02977925440029,0.8987472143158611,0.08231474621712066,2500
DWT,Crop,18.453465390097545,7.1700783790447105,0.42514687559594666,0.2613186491886869,2500
DWT,JPEG50,33.810905542454755,5.0438516606521615,0.9434338375833969,0.031224867912092006,2500
DWT,JPEG70,35.510247284341474,5.300183444354929,0.9605797551028793,0.022847127312349058,2500
DWT,Noise,23.55248545845915,0.6543246243066421,0.615705067009668,0.14549007757241836,2500
DWT,Rotate,17.898744543391317,7.0870840188209385,0.39983052800098756,0.25596353571728736,2500
DWT_DCT,Blur,29.712060462287486,4.497793854754751,0.8836120385715618,0.08437993813972366,2500
DWT_DCT,Crop,16.872723318029156,5.125812569353094,0.37730900017771835,0.24418681614778467,2500
DWT_DCT,JPEG50,32.61168004429827,3.941077097839657,0.9353180157124258,0.026396311395012015,2500
DWT_DCT,JPEG70,34.393412814091455,4.076991088975024,0.9549651231303767,0.01979111332265636,2500
DWT_DCT,Noise,23.37980511105008,0.4377295577293145,0.6161712705243065,0.15945063378015087,2500
DWT_DCT,Rotate,16.281343489692127,5.004096420893309,0.3497377347771905,0.23460083735652545,2500
DWT_SVD,Blur,29.437894346181828,4.711327810438413,0.8316150331441713,0.0606719033205929,2500
DWT_SVD,Crop,16.713749105614554,5.567082609753414,0.2781790480872577,0.16722798699541794,2500
DWT_SVD,JPEG50,31.843750862878025,3.232944255525869,0.9152291925915308,0.023258646313881907,2500
DWT_SVD,JPEG70,33.5115550918922,3.2340489764792473,0.9411259540465133,0.01850691528268106,2500
DWT_SVD,Noise,23.397784726857957,0.4445890075995984,0.6652541904327439,0.13647862619129772,2500
DWT_SVD,Rotate,16.237744351271193,5.574137777475705,0.2649652048418403,0.16692799777922382,2500
SVD,Blur,24.478478535109335,4.446714193625983,0.7470909175369418,0.11076009529285745,2500
SVD,Crop,14.884109803220289,5.5502909404686305,0.27527212015158536,0.22897414516929043,2500
SVD,JPEG50,28.39276964663294,3.396725789835533,0.891385308924774,0.05099059303693912,2500
SVD,JPEG70,30.411742934384236,3.3872758453819647,0.9286707645879798,0.032579964335157495,2500
SVD,Noise,23.994564108087783,0.6080045288497448,0.7695094234259361,0.1032828261972492,2500
SVD,Rotate,14.52791098043017,5.524334400778851,0.26441866232542754,0.2234312631074009,2500
